Urad za delo,1+2 - OŠ ali manj,"3+4 - nižje, srednje poklicno izobr.","5 - srednje tehniško, strokovno, splošno izobr.","6+7+8 - visokošolsko izobr. prve, druge, tretje stopnje",Skupaj,month,year,"OŠ
ali manj","nižje, srednje poklicno izob.","srednje tehniško, strokovno,
splošno izob.","visokošolsko
izob. prve, druge,
tretje stopnje"
UD Velenje,485.0,435.0,457.0,290.0,1667.0,NOV,2019,,,,
,,,,,,NOV,2019,,,,
,,,,,72395.0,NOV,2019,,,,
OS Celje,2665.0,2463.0,2064.0,1255.0,8447.0,DEC,2019,,,,
UD Celje,774.0,734.0,696.0,526.0,2730.0,DEC,2019,,,,
UD Laško,168.0,175.0,157.0,71.0,571.0,DEC,2019,,,,
UD Slovenske Konjice,447.0,382.0,298.0,151.0,1278.0,DEC,2019,,,,
UD Šentjur,250.0,276.0,204.0,133.0,863.0,DEC,2019,,,,
UD Šmarje pri Jelšah,498.0,457.0,307.0,158.0,1420.0,DEC,2019,,,,
UD Žalec,528.0,439.0,402.0,216.0,1585.0,DEC,2019,,,,
OS Koper,1677.0,1255.0,1344.0,758.0,5034.0,DEC,2019,,,,
UD Ilirska Bistrica,128.0,111.0,95.0,56.0,390.0,DEC,2019,,,,
UD Izola,200.0,139.0,113.0,70.0,522.0,DEC,2019,,,,
UD Koper,639.0,478.0,538.0,330.0,1985.0,DEC,2019,,,,
UD Piran,235.0,188.0,239.0,111.0,773.0,DEC,2019,,,,
UD Postojna,286.0,187.0,171.0,81.0,725.0,DEC,2019,,,,
UD Sežana,189.0,152.0,188.0,110.0,639.0,DEC,2019,,,,
OS Kranj,1647.0,1147.0,1365.0,940.0,5099.0,DEC,2019,,,,
UD Jesenice,241.0,190.0,180.0,104.0,715.0,DEC,2019,,,,
UD Kranj,910.0,487.0,637.0,479.0,2513.0,DEC,2019,,,,
UD Radovljica,209.0,187.0,232.0,173.0,801.0,DEC,2019,,,,
UD Škofja Loka,179.0,177.0,205.0,143.0,704.0,DEC,2019,,,,
UD Tržič,108.0,106.0,111.0,41.0,366.0,DEC,2019,,,,
OS Ljubljana,6244.0,4779.0,5696.0,4338.0,21057.0,DEC,2019,,,,
UD Cerknica,88.0,118.0,125.0,70.0,401.0,DEC,2019,,,,
UD Domžale,455.0,383.0,426.0,312.0,1576.0,DEC,2019,,,,
UD Grosuplje,445.0,337.0,286.0,158.0,1226.0,DEC,2019,,,,
UD Kamnik,278.0,264.0,247.0,167.0,956.0,DEC,2019,,,,
UD Kočevje,459.0,324.0,180.0,76.0,1039.0,DEC,2019,,,,
UD Ljubljana,4118.0,2961.0,4061.0,3309.0,14449.0,DEC,2019,,,,
UD Logatec,99.0,95.0,89.0,63.0,346.0,DEC,2019,,,,
UD Ribnica,110.0,97.0,85.0,47.0,339.0,DEC,2019,,,,
UD Vrhnika,192.0,200.0,197.0,136.0,725.0,DEC,2019,,,,
OS Maribor,2973.0,2745.0,2753.0,1826.0,10297.0,DEC,2019,,,,
UD Lenart,116.0,153.0,120.0,58.0,447.0,DEC,2019,,,,
UD Maribor,2145.0,1869.0,1966.0,1394.0,7374.0,DEC,2019,,,,
UD Pesnica,203.0,228.0,155.0,89.0,675.0,DEC,2019,,,,
UD Ruše,140.0,179.0,173.0,92.0,584.0,DEC,2019,,,,
UD Slovenska Bistrica,369.0,316.0,339.0,193.0,1217.0,DEC,2019,,,,
OS Murska Sobota,2384.0,1822.0,1291.0,699.0,6196.0,DEC,2019,,,,
UD Gornja Radgona,283.0,326.0,210.0,101.0,920.0,DEC,2019,,,,
UD Lendava,539.0,404.0,257.0,125.0,1325.0,DEC,2019,,,,
UD Ljutomer,228.0,234.0,177.0,103.0,742.0,DEC,2019,,,,
UD Murska Sobota,1334.0,858.0,647.0,370.0,3209.0,DEC,2019,,,,
OS Nova Gorica,948.0,647.0,684.0,527.0,2806.0,DEC,2019,,,,
UD Ajdovščina,191.0,165.0,150.0,116.0,622.0,DEC,2019,,,,
UD Idrija,83.0,64.0,67.0,41.0,255.0,DEC,2019,,,,
UD Nova Gorica,570.0,315.0,364.0,317.0,1566.0,DEC,2019,,,,
UD Tolmin,104.0,103.0,103.0,53.0,363.0,DEC,2019,,,,
OS Novo mesto,1722.0,835.0,637.0,402.0,3596.0,DEC,2019,,,,
UD Črnomelj,414.0,238.0,153.0,64.0,869.0,DEC,2019,,,,
UD Metlika,218.0,109.0,58.0,35.0,420.0,DEC,2019,,,,
UD Novo mesto,851.0,371.0,338.0,253.0,1813.0,DEC,2019,,,,
UD Trebnje,239.0,117.0,88.0,50.0,494.0,DEC,2019,,,,
OS Ptuj,702.0,817.0,841.0,393.0,2753.0,DEC,2019,,,,
UD Ormož,176.0,204.0,166.0,55.0,601.0,DEC,2019,,,,
UD Ptuj,526.0,613.0,675.0,338.0,2152.0,DEC,2019,,,,
OS Sevnica,1201.0,951.0,668.0,329.0,3149.0,DEC,2019,,,,
UD Brežice,304.0,318.0,265.0,116.0,1003.0,DEC,2019,,,,
UD Krško,735.0,403.0,266.0,128.0,1532.0,DEC,2019,,,,
UD Sevnica,162.0,230.0,137.0,85.0,614.0,DEC,2019,,,,
OS Trbovlje,810.0,626.0,512.0,310.0,2258.0,DEC,2019,,,,
UD Hrastnik,170.0,121.0,97.0,42.0,430.0,DEC,2019,,,,
UD Litija,188.0,139.0,95.0,77.0,499.0,DEC,2019,,,,
UD Trbovlje,283.0,236.0,190.0,122.0,831.0,DEC,2019,,,,
UD Zagorje,169.0,130.0,130.0,69.0,498.0,DEC,2019,,,,
OS Velenje,1275.0,1416.0,1210.0,699.0,4600.0,DEC,2019,,,,
UD Dravograd,73.0,97.0,82.0,35.0,287.0,DEC,2019,,,,
UD Mozirje,113.0,149.0,147.0,86.0,495.0,DEC,2019,,,,
